"SCHEMA URL";"file Name"

# RBTV
# film - The Longest Wave
"redbulltv://film/page:rrn:content:films:1bdbfbc3-77cf-43dc-9a55-0a0311dabf8e";"rbtv_deeplink_film_page"
"redbulltv://film/rrn:content:films:1bdbfbc3-77cf-43dc-9a55-0a0311dabf8e";"rbtv_deeplink_film_video"
"redbulltv://video/rrn:content:films:1bdbfbc3-77cf-43dc-9a55-0a0311dabf8e";"rbtv_deeplink_film_video_alternate"
"redbulltv://video/rrn:content:trailer-videos:a86c71fc-f7ee-44e1-9990-225261545f7f";"rbtv_deeplink_film_trailer"

# show - Life of Kai
"redbulltv://show/rrn:content:shows:a63765eb-2299-46d2-89f3-fd60bb007f0a";"rbtv_deeplink_show_page"
"redbulltv://video/rrn:content:episode-videos:4264624f-3dd3-4aec-ab7c-232690e2fee7";"rbtv_deeplink_show_video"
"redbulltv://video/rrn:content:trailer-videos:279d2cf1-4b82-4bfe-ac7d-224d970c8da2";"rbtv_deeplink_show_trailer"

# event - Red Bull Rampage
"redbulltv://event/rrn:content:event-series:e2cca4ef-e636-5f39-a1ff-1443ea63d3ad";"rbtv_deeplink_event_series"
"redbulltv://event/rrn:content:event-profiles:ddd1e4ee-125d-4f7e-96e9-aca3ce3ddb98";"rbtv_deeplink_event_stop"
"redbulltv://video/rrn:content:live-videos:427ffa0c-92c6-42f8-842c-51c4738d0355";"rbtv_deeplink_event_live"
"redbulltv://video/rrn:content:videos:ae5391db-afb4-414f-9ef1-88b1eaf177a9";"rbtv_deeplink_event_clip"

# System Page
"redbulltv://discover";"rbtv_deeplink_page_discover"
"redbulltv://home";"rbtv_deeplink_page_home"
"redbulltv://calendar";"rbtv_deeplink_page_calendar"
"redbulltv://live-events";"rbtv_deeplink_page_live-events"
"redbulltv://tv";"rbtv_deeplink_page_tv"
"redbulltv://channels";"rbtv_deeplink_page_channels"
"redbulltv://account";"rbtv_deeplink_page_account"
"redbulltv://search";"rbtv_deeplink_page_search"

#ServusTV
# Film - Trost und Rath
"servustv://film/page:AAHZMQL90ZH5R9BM5V4B";"stv_deeplink_film_page"
"servustv://film/AA6FWNS13AQTL7J9KMRQ";"stv_deeplink_film_video"
"servustv://video/AA6FWNS13AQTL7J9KMRQ";"stv_deeplink_film_video"

# Show - Meiberger
"servustv://show/AA-1WTKXBXJN1W11";"stv_deeplink_show_page"
"servustv://video/AA-24BTA1MM51W12";"stv_deeplink_show_video"

# Formel E: Mexico City (Expires 01/26)
"servustvdebug://event/AA8RU7M6IEH8KA9R51LG";"stv_deeplink_event_series"
"servustvdebug://event/AA8GUDVZPT5RN731F0L6";"stv_deeplink_event_stop"
"servustvdebug://video/AAXAG6W0NMT5C1FQVYVA";"stv_deeplink_event_live"

# System Page
"servustv://discover";"stv_deeplink_page_discover"
"servustv://startseite";"stv_deeplink_page_startseite"
"servustv://sport";"stv_deeplink_page_sport"
"servustv://live-events";"stv_deeplink_page_live-events"
"servustv://sendugen";"stv_deeplink_page_sendugen"
"servustv://mediathek";"stv_deeplink_page_mediathek"
"servustv://tv";"stv_deeplink_page_tv"
"servustv://channels";"stv_deeplink_page_channels"
"servustv://programm";"stv_deeplink_page_programm"
"servustv://tv-programm";"stv_deeplink_page_tv-programm"
"servustv://account";"stv_deeplink_page_account"
"servustv://konto";"stv_deeplink_page_konto"
"servustv://search";"stv_deeplink_page_search"
"servustv://suche";"stv_deeplink_page_suche"

#rallytv
# event - Stop 11 - Concepción, Chile
"rallytvdebug://event/ff59c4dd-0664-57a4-86d6-e9be2d8070b4"; "rtv_deeplink_event_stop"
"rallytvdebug://video/c757ff67-e5ac-5f1b-be00-a20b9c25b0bd"; "rtv_deeplink_event_clip"

# System Page
"rallytvdebug://discover";"rtv_deeplink_page_discover"
"rallytvdebug://home";"rtv_deeplink_page_home"
"rallytvdebug://calendar";"rtv_deeplink_page_calendar"
"rallytvdebug://live-events";"rtv_deeplink_page_live-events"
"rallytvdebug://tv";"rtv_deeplink_page_tv"
"rallytvdebug://channels";"rtv_deeplink_page_channels"
"rallytvdebug://account";"rtv_deeplink_page_account"
"rallytvdebug://search";"rtv_deeplink_page_search"
